epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,634.34,1.09223,3.3625,1.39406,0.40167,0.53583,0.46921,0.34518,0.97043,2.70605,1.16381,0.000109832,0.000109832,0.000109832
2,1054.22,0.91014,2.30829,1.22921,0.52037,0.68572,0.7114,0.56795,0.88394,1.90741,1.09953,0.000216459,0.000216459,0.000216459
3,1489.42,0.90215,1.99511,1.20957,0.61223,0.68719,0.78912,0.6104,0.92677,1.64034,1.16749,0.000318691,0.000318691,0.000318691
4,1932.06,0.87838,1.76674,1.19751,0.7671,0.68574,0.82921,0.62799,1.05457,1.40961,1.20103,0.00031322,0.00031322,0.00031322
5,2364.5,0.84789,1.5757,1.1605,0.644,0.75426,0.86115,0.68733,0.90937,1.20658,1.11779,0.000306626,0.000306626,0.000306626
6,2809.22,0.84869,1.44792,1.15564,0.77738,0.70513,0.86441,0.70707,0.80378,1.17459,1.04713,0.000300033,0.000300033,0.000300033
7,3238.38,0.8116,1.32704,1.14313,0.83319,0.80475,0.87704,0.70793,0.85032,0.90425,1.03796,0.00029344,0.00029344,0.00029344
8,3664.09,0.79477,1.26911,1.13232,0.82075,0.7711,0.89613,0.69636,0.94093,1.00149,1.11539,0.000286846,0.000286846,0.000286846
9,4118.7,0.79516,1.19688,1.12803,0.8162,0.77875,0.93238,0.78278,0.71497,0.88722,0.98152,0.000280253,0.000280253,0.000280253
10,4550.41,0.77043,1.09856,1.10782,0.86885,0.79933,0.90716,0.73385,0.84738,0.91208,1.05746,0.000273659,0.000273659,0.000273659
11,4967.95,0.74886,1.07874,1.0977,0.85775,0.84879,0.92656,0.76613,0.77805,0.77759,1.02479,0.000267066,0.000267066,0.000267066
